#time,accel_x,accel_y,accel_z
2536.655722,-888.247130,592.164754,-78141.740796
2536.658336,-592.164754,1628.453072,-77682.083497
2536.660950,1184.329507,592.164754,-77835.302597
2536.663564,444.123565,1776.494261,-76762.768900
2536.666178,-1184.329507,1036.288319,-78601.398095
2536.668792,-1184.329507,148.041188,-78294.959896
2536.671406,-296.082377,-592.164754,-77835.302597
2536.674020,1628.453072,296.082377,-78754.617194
2536.676634,1628.453072,740.205942,-78907.836294
2536.679248,-740.205942,-1924.535449,-79367.493593
2536.681862,-1184.329507,5921.647536,-77682.083497
2536.684476,1184.329507,-3997.112087,-78141.740796
2536.687090,-148.041188,-5329.482782,-77528.864398
2536.689704,-1036.288319,-13471.748144,-79367.493593
2536.692318,888.247130,-5329.482782,-76149.892501
2536.694932,444.123565,11991.336260,-78448.178995
2536.697546,1628.453072,-1332.370696,-81359.341888
2536.700160,-592.164754,7550.100608,-78141.740796
2536.702773,-888.247130,-14656.077652,-82278.656485
2536.705387,2812.782580,-7846.182985,-72012.976812
2536.708001,-296.082377,6661.853478,-73391.948708
2536.710615,1924.535449,2072.576638,-79367.493593
2536.713229,2072.576638,10066.800811,-79673.931792
2536.715843,0.000000,6513.812290,-83810.847481
2536.718457,-1480.411884,888.247130,-78294.959896
2536.721072,0.000000,8438.347739,-70940.443115
2536.723686,-1036.288319,-6513.812290,-73391.948708
2536.726301,1036.288319,19837.519246,-71859.757712
2536.728915,-1332.370696,-7550.100608,-89786.392366
2536.731530,-2516.700203,888.247130,-84730.162079
2536.734144,1924.535449,14656.077652,-79367.493593
2536.736759,-5181.441594,296.082377,-77069.207099
2536.739373,148.041188,4441.235652,-69561.471218
2536.741988,2960.823768,592.164754,-75230.577904
2536.744602,-296.082377,1776.494261,-81359.341888
2536.747217,-740.205942,5329.482782,-83504.409282
2536.749831,3552.988522,5921.647536,-83504.409282
2536.752446,-740.205942,7994.224174,-75690.235202
2536.755061,-2368.659014,2072.576638,-74924.139704
2536.757675,-3849.070898,-4145.153275,-73545.167808
2536.760290,1184.329507,5329.482782,-76303.111601
2536.762904,-1036.288319,9326.594869,-80746.465489
2536.765519,-3849.070898,11547.212695,-81512.560987
2536.768133,1924.535449,11399.171507,-81052.903688
2536.770748,2220.617826,1628.453072,-77528.864398
2536.773362,888.247130,-8142.265362,-75996.673402
2536.775977,-1184.329507,11991.336260,-73698.386908
2536.778591,-1924.535449,3404.947333,-79214.274493
2536.781206,4589.276840,9178.553681,-79827.150892
2536.783820,-444.123565,6809.894666,-80593.246390
2536.786435,-2072.576638,7550.100608,-79367.493593
2536.789049,2368.659014,-888.247130,-75996.673402
2536.791664,444.123565,888.247130,-73698.386908
2536.794278,296.082377,5477.523971,-76456.330700
2536.796893,-592.164754,-9918.759623,-80899.684589
2536.799507,1480.411884,4145.153275,-78754.617194
2536.802122,-2664.741391,2960.823768,-80286.808190
2536.804736,-444.123565,6365.771101,-76303.111601
2536.807351,-296.082377,-1184.329507,-76303.111601
2536.809965,-444.123565,-11399.171507,-78907.836294
2536.812580,740.205942,-888.247130,-76456.330700
2536.815194,-1776.494261,-13471.748144,-83044.751983
2536.817809,1332.370696,12435.459826,-74464.482406
2536.820424,-2072.576638,-444.123565,-81665.780087
2536.823038,888.247130,-10807.006753,-79980.369991
2536.825517,6365.771101,-1184.329507,-74464.482406
2536.827997,592.164754,1924.535449,-77069.207099
2536.830476,-592.164754,296.082377,-76762.768900
2536.832955,-1332.370696,-4145.153275,-77988.521696
2536.835434,-592.164754,1480.411884,-79520.712692
2536.837914,0.000000,-7402.059420,-81512.560987
2536.840393,-2664.741391,-1036.288319,-78754.617194
2536.842872,1332.370696,3849.070898,-75537.016103
2536.845352,-296.082377,-3997.112087,-76762.768900
2536.847831,296.082377,-2368.659014,-78141.740796
2536.850310,444.123565,5477.523971,-77375.645298
2536.852790,592.164754,2664.741391,-79980.369991
2536.855269,592.164754,-5625.565159,-79214.274493
2536.857748,-888.247130,2516.700203,-76915.987999
2536.860227,740.205942,-10658.965565,-79214.274493
2536.862707,3552.988522,-5329.482782,-76303.111601
2536.865186,-2812.782580,-444.123565,-79980.369991
2536.867665,2368.659014,-7698.141797,-80746.465489
2536.870145,1332.370696,12583.501014,-76303.111601
2536.872624,-2072.576638,-9770.718434,-82278.656485
2536.875103,1776.494261,4293.194464,-74004.825107
2536.877582,-740.205942,-9178.553681,-77835.302597
2536.880062,2664.741391,888.247130,-76149.892501
2536.882541,-1036.288319,2516.700203,-78294.959896
2536.885020,888.247130,-10807.006753,-83504.409282
2536.887500,888.247130,11547.212695,-76762.768900
2536.889979,-2664.741391,-5181.441594,-81665.780087
2536.892458,-296.082377,444.123565,-75230.577904
2536.894937,-1480.411884,3701.029710,-72932.291410
2536.897417,-1332.370696,6513.812290,-76762.768900
2536.899896,1628.453072,10807.006753,-78601.398095
2536.902375,-1776.494261,-6957.935855,-84423.723880
2536.904855,3256.906145,9918.759623,-76456.330700
2536.907334,1184.329507,592.164754,-77222.426198
2536.909813,296.082377,14359.995275,-74311.263306
2536.912292,-888.247130,-740.205942,-78754.617194
2536.914772,1036.288319,-2368.659014,-78601.398095
2536.917251,296.082377,9770.718434,-76915.987999
2536.919730,-1184.329507,5773.606348,-80593.246390
2536.922210,-4293.194464,4145.153275,-78294.959896
2536.924730,-888.247130,8734.430116,-77988.521696
2536.927251,-592.164754,-6217.729913,-80286.808190
2536.929772,444.123565,7402.059420,-76915.987999
2536.932293,-2516.700203,296.082377,-79214.274493
2536.934814,-1184.329507,9030.512492,-75230.577904
2536.937335,148.041188,2664.741391,-78141.740796
2536.939855,0.000000,-3108.864956,-79980.369991
2536.942376,296.082377,3849.070898,-77682.083497
2536.944897,296.082377,3997.112087,-78294.959896
2536.947418,-296.082377,2960.823768,-77835.302597
2536.949939,-148.041188,5625.565159,-78141.740796
2536.952460,-3108.864956,7402.059420,-77528.864398
2536.954980,2664.741391,1184.329507,-76762.768900
2536.957501,740.205942,7550.100608,-78141.740796
2536.960022,888.247130,3849.070898,-78294.959896
2536.962543,-148.041188,12435.459826,-79367.493593
2536.965064,-444.123565,-3108.864956,-81665.780087
2536.967585,2960.823768,10214.842000,-75690.235202
2536.970105,-148.041188,3701.029710,-78141.740796
2536.972626,3552.988522,3108.864956,-76149.892501
2536.975147,-740.205942,9030.512492,-77069.207099
2536.977668,1332.370696,-1776.494261,-79827.150892
2536.980189,2368.659014,6809.894666,-76915.987999
2536.982710,-740.205942,7254.018232,-78601.398095
2536.985230,-1184.329507,1480.411884,-78294.959896
2536.987751,592.164754,-6809.894666,-77682.083497
2536.990272,1924.535449,3256.906145,-77222.426198
2536.992793,-2368.659014,-1036.288319,-79980.369991
2536.995314,1776.494261,-3849.070898,-79061.055394
2536.997835,296.082377,3256.906145,-76456.330700
2537.000355,1184.329507,-2812.782580,-79367.493593
2537.002876,-2220.617826,-9770.718434,-80440.027290
2537.005397,2072.576638,-6217.729913,-77528.864398
2537.007918,740.205942,10955.047942,-75537.016103
2537.010439,148.041188,-1480.411884,-79520.712692
2537.012960,0.000000,-6069.688724,-80746.465489
2537.015480,296.082377,1480.411884,-77222.426198
2537.018001,1776.494261,-5329.482782,-77528.864398
2537.020522,-2220.617826,-444.123565,-75537.016103
2537.023043,1036.288319,2516.700203,-77835.302597
2537.025592,0.000000,-8438.347739,-79827.150892
2537.028141,3701.029710,1036.288319,-77528.864398
2537.030690,-592.164754,148.041188,-78294.959896
2537.033239,-444.123565,4737.318029,-77069.207099
2537.035787,-296.082377,-7254.018232,-79061.055394
2537.038336,1036.288319,-2072.576638,-76609.549800
2537.040885,1628.453072,5477.523971,-75690.235202
