#time,accel_x,accel_y,accel_z
5133.822212,5625.565159,15544.324782,-75690.235202
5133.824776,1036.288319,10807.006753,-76915.987999
5133.827341,3108.864956,9178.553681,-75383.797003
5133.829906,1332.370696,-740.205942,-79214.274493
5133.832470,-3404.947333,-13915.871710,-80593.246390
5133.835035,148.041188,-4737.318029,-78907.836294
5133.837600,-1332.370696,-4293.194464,-81206.122788
5133.840164,444.123565,-6365.771101,-81818.999186
5133.842729,3701.029710,8142.265362,-75690.235202
5133.845294,1480.411884,6069.688724,-77528.864398
5133.847858,3849.070898,14804.118840,-71553.319513
5133.850423,-148.041188,4145.153275,-75383.797003
5133.852988,-444.123565,-5033.400406,-79980.369991
5133.855552,-2220.617826,-5329.482782,-80746.465489
5133.858117,-1776.494261,-11399.171507,-83657.628382
5133.860682,2960.823768,4885.359217,-78294.959896
5133.863246,444.123565,6957.935855,-76303.111601
5133.865811,4145.153275,8882.471304,-73085.510509
5133.868376,2368.659014,12287.418637,-73698.386908
5133.870940,-444.123565,5477.523971,-75996.673402
5133.873505,1776.494261,5773.606348,-75537.016103
5133.876070,-3256.906145,-3256.906145,-81972.218286
5133.878634,-4293.194464,-13619.789333,-84576.942979
5133.881199,-2072.576638,-10807.006753,-78754.617194
5133.883764,296.082377,-8290.306550,-77988.521696
5133.886328,5625.565159,5329.482782,-76303.111601
5133.888893,6809.894666,14063.912898,-72472.634111
5133.891458,2960.823768,11843.295072,-73851.606007
5133.894022,-1184.329507,2220.617826,-77682.083497
5133.896587,-4589.276840,-25315.043216,-87947.763170
5133.899152,-2664.741391,-19097.313304,-83964.066581
5133.901716,-5477.523971,-28423.908173,-83197.971083
5133.904281,-1480.411884,-10955.047942,-77835.302597
5133.906846,2220.617826,14656.077652,-77988.521696
5133.909410,5773.606348,24278.754898,-75230.577904
5133.911975,3108.864956,33753.390955,-74617.701505
5133.914540,4737.318029,2812.782580,-79827.150892
5133.917104,-1036.288319,-1036.288319,-73545.167808
5133.919669,-8734.430116,-25463.084405,-84270.504780
5133.922228,-740.205942,-6957.935855,-79980.369991
5133.924787,-592.164754,-296.082377,-81052.903688
5133.927346,7254.018232,25759.166782,-74617.701505
5133.929906,4145.153275,31680.814318,-75077.358804
5133.932465,3849.070898,25018.960840,-75077.358804
5133.935024,6661.853478,24426.796086,-66956.746525
5133.937583,-444.123565,1332.370696,-77069.207099
5133.940142,-1480.411884,-17912.983796,-85189.819378
5133.942701,-2220.617826,-14063.912898,-81818.999186
5133.945260,-1776.494261,-4145.153275,-82125.437386
5133.947820,1480.411884,11991.336260,-74311.263306
5133.950379,3108.864956,14804.118840,-75077.358804
5133.952938,3108.864956,14508.036463,-77835.302597
5133.955497,1480.411884,17912.983796,-74004.825107
5133.958056,-444.123565,4441.235652,-78294.959896
5133.960615,-1924.535449,-8586.388927,-78754.617194
5133.963175,-4293.194464,4737.318029,-75077.358804
5133.965734,-5773.606348,-29904.320057,-90705.706963
5133.968293,-2072.576638,-7402.059420,-76762.768900
5133.970852,148.041188,3997.112087,-79214.274493
5133.973411,5477.523971,29904.320057,-71859.757712
5133.975970,5625.565159,30052.361245,-75843.454302
5133.978529,4885.359217,10362.883188,-74311.263306
5133.981089,-4293.194464,4293.194464,-74004.825107
5133.983648,-4737.318029,-26647.413912,-86875.229473
5133.986207,-1776.494261,-9178.553681,-80133.589091
5133.988766,-5773.606348,-3552.988522,-80746.465489
5133.991325,3849.070898,14656.077652,-74004.825107
5133.993884,3256.906145,18949.272115,-73698.386908
5133.996444,6513.812290,14804.118840,-77988.521696
5133.999003,5773.606348,27091.537477,-64505.240932
5134.001562,3701.029710,0.000000,-77682.083497
5134.004121,-4589.276840,-15988.448347,-83044.751983
5134.006680,-4145.153275,-29460.196492,-85343.038477
5134.009239,-1628.453072,-11991.336260,-79367.493593
5134.011798,-2812.782580,592.164754,-77528.864398
5134.014358,6957.935855,18061.024985,-72012.976812
5134.016917,3701.029710,24130.713709,-75690.235202
5134.019476,1480.411884,1184.329507,-77988.521696
5134.022035,740.205942,-5181.441594,-77069.207099
5134.024587,-3701.029710,4293.194464,-76609.549800
5134.027139,-1628.453072,-21465.972318,-82585.094684
5134.029690,-5329.482782,-22206.178260,-76762.768900
5134.032242,-5477.523971,-18801.230927,-85955.914876
5134.034794,296.082377,3849.070898,-78294.959896
5134.037346,6365.771101,17024.736666,-75690.235202
5134.039897,1184.329507,16432.571912,-75996.673402
5134.042449,2960.823768,5329.482782,-74158.044206
5134.045001,1036.288319,-13175.665768,-76303.111601
