#time,accel_x,accel_y,accel_z
2294.687780,740.205942,1776.494261,-77528.864398
2294.690348,296.082377,2072.576638,-79061.055394
2294.692916,888.247130,2812.782580,-80899.684589
2294.695483,296.082377,2220.617826,-80593.246390
2294.698051,444.123565,1036.288319,-78754.617194
2294.700619,-296.082377,444.123565,-77835.302597
2294.703170,-1332.370696,888.247130,-77375.645298
2294.705731,-296.082377,1628.453072,-78141.740796
2294.708292,444.123565,2368.659014,-79673.931792
2294.710854,444.123565,2664.741391,-80286.808190
2294.713415,592.164754,1924.535449,-79827.150892
2294.715976,-592.164754,2516.700203,-79061.055394
2294.718538,-1184.329507,0.000000,-77375.645298
2294.721099,-740.205942,0.000000,-78141.740796
2294.723661,740.205942,1480.411884,-77682.083497
2294.726222,444.123565,2516.700203,-79214.274493
2294.728783,1332.370696,2368.659014,-79980.369991
2294.731345,-296.082377,2368.659014,-79827.150892
2294.733906,1036.288319,296.082377,-77682.083497
2294.736468,888.247130,1332.370696,-77682.083497
2294.739029,2664.741391,-1184.329507,-78907.836294
2294.741590,4293.194464,148.041188,-78141.740796
2294.744152,6365.771101,5477.523971,-79520.712692
2294.746713,7402.059420,-148.041188,-80746.465489
2294.749275,5033.400406,4589.276840,-78907.836294
2294.751836,-592.164754,0.000000,-79367.493593
2294.754397,-1776.494261,3552.988522,-77528.864398
2294.756959,2072.576638,-1480.411884,-78141.740796
2294.759520,3701.029710,1332.370696,-79061.055394
2294.762081,6513.812290,3701.029710,-79520.712692
2294.764643,3849.070898,592.164754,-79520.712692
2294.767204,6957.935855,6365.771101,-78601.398095
2294.769766,-9030.512492,-1332.370696,-79520.712692
2294.772327,-6365.771101,2664.741391,-78294.959896
2294.774888,-2072.576638,-1776.494261,-76915.987999
2294.777450,-2220.617826,-2220.617826,-79673.931792
2294.780011,2812.782580,8882.471304,-77222.426198
2294.782573,2220.617826,-2368.659014,-81512.560987
2294.785134,-5329.482782,7105.977043,-77528.864398
2294.787695,-6365.771101,2072.576638,-80133.589091
2294.790257,-1776.494261,-3108.864956,-79367.493593
2294.792818,-1036.288319,444.123565,-76915.987999
2294.795380,-4293.194464,3108.864956,-78448.178995
2294.797941,-5329.482782,1184.329507,-78141.740796
2294.800502,-4145.153275,4441.235652,-80286.808190
2294.803064,-1480.411884,4145.153275,-80286.808190
2294.805617,888.247130,1332.370696,-79980.369991
2294.808170,-1332.370696,-1036.288319,-78141.740796
2294.810724,-1036.288319,888.247130,-76149.892501
2294.813277,-2960.823768,4737.318029,-75996.673402
2294.815830,-4589.276840,-148.041188,-81206.122788
2294.818384,-11843.295072,4293.194464,-78754.617194
2294.820937,-3552.988522,7402.059420,-80286.808190
2294.823490,-8290.306550,-6069.688724,-80286.808190
2294.826043,-2368.659014,5033.400406,-75230.577904
2294.828597,2220.617826,-2812.782580,-78448.178995
2294.831150,-1480.411884,740.205942,-77222.426198
2294.833703,-7698.141797,2220.617826,-78907.836294
2294.836257,-2664.741391,2516.700203,-81665.780087
2294.838810,-10362.883188,3256.906145,-80899.684589
2294.841363,1776.494261,-296.082377,-78907.836294
2294.843917,4293.194464,148.041188,-75383.797003
2294.846470,-6069.688724,3552.988522,-77835.302597
2294.849023,-888.247130,-3552.988522,-79367.493593
2294.851576,-1480.411884,4145.153275,-79520.712692
2294.854130,4589.276840,2664.741391,-82278.656485
2294.856683,3997.112087,-296.082377,-80286.808190
2294.859236,4737.318029,10214.842000,-74617.701505
2294.861790,-5477.523971,-2220.617826,-79520.712692
2294.864343,1924.535449,0.000000,-77069.207099
2294.866896,3552.988522,592.164754,-76609.549800
2294.869450,4885.359217,-444.123565,-83044.751983
2294.872003,8586.388927,9178.553681,-77682.083497
2294.874556,2368.659014,-888.247130,-80133.589091
2294.877109,-888.247130,6069.688724,-75537.016103
2294.879663,-888.247130,-2516.700203,-79827.150892
2294.882216,1924.535449,-1184.329507,-78141.740796
2294.884769,8586.388927,3256.906145,-78448.178995
2294.887323,6957.935855,-444.123565,-80899.684589
2294.889876,4885.359217,4885.359217,-76456.330700
2294.892429,2368.659014,3849.070898,-77835.302597
2294.894983,2072.576638,1924.535449,-79673.931792
2294.897536,3256.906145,-1480.411884,-80593.246390
2294.900089,5181.441594,2812.782580,-76609.549800
2294.902643,-1036.288319,-2368.659014,-79827.150892
2294.905196,0.000000,3701.029710,-76456.330700
2294.907745,296.082377,4145.153275,-78907.836294
2294.910295,1776.494261,296.082377,-81818.999186
2294.912844,4589.276840,1184.329507,-79980.369991
2294.915393,8734.430116,3108.864956,-79214.274493
2294.917943,6957.935855,-2664.741391,-77528.864398
2294.920492,1480.411884,1924.535449,-76609.549800
2294.923042,740.205942,2812.782580,-77528.864398
2294.925591,1480.411884,2220.617826,-80593.246390
2294.928140,5773.606348,2072.576638,-81818.999186
2294.930690,4737.318029,4737.318029,-79827.150892
2294.933239,5033.400406,-2960.823768,-77988.521696
2294.935789,-740.205942,1184.329507,-75383.797003
2294.938338,1628.453072,4737.318029,-77222.426198
2294.940887,-592.164754,-888.247130,-79980.369991
2294.943437,-1776.494261,2516.700203,-81818.999186
2294.945986,3701.029710,-592.164754,-80286.808190
2294.948536,4589.276840,3256.906145,-79214.274493
2294.951085,1480.411884,0.000000,-78141.740796
2294.953634,-5477.523971,296.082377,-76149.892501
2294.956184,-4885.359217,8734.430116,-77069.207099
2294.958733,-9030.512492,-6513.812290,-83197.971083
2294.961283,2812.782580,4293.194464,-79980.369991
2294.963832,1184.329507,592.164754,-79827.150892
2294.966382,-2812.782580,-296.082377,-77682.083497
2294.968931,-4589.276840,2960.823768,-75230.577904
2294.971480,-2368.659014,-1036.288319,-79673.931792
2294.974030,-4441.235652,3404.947333,-79367.493593
2294.976579,-1480.411884,-1628.453072,-81818.999186
2294.979129,-5181.441594,4441.235652,-77069.207099
2294.981678,-3701.029710,-296.082377,-79367.493593
2294.984227,-4145.153275,-592.164754,-78754.617194
2294.986777,-1776.494261,1184.329507,-77682.083497
2294.989326,-1924.535449,-1776.494261,-80593.246390
2294.991876,0.000000,4589.276840,-78294.959896
2294.994425,-5921.647536,1480.411884,-79520.712692
2294.996974,148.041188,4145.153275,-77835.302597
2294.999524,296.082377,888.247130,-77988.521696
2295.002073,-1036.288319,740.205942,-79980.369991
2295.004623,296.082377,592.164754,-79673.931792
2295.007172,-2516.700203,740.205942,-79367.493593
2295.009716,-3404.947333,1776.494261,-79061.055394
2295.012261,-9474.636058,592.164754,-77682.083497
2295.014806,-13471.748144,6217.729913,-77222.426198
2295.017350,-4589.276840,-888.247130,-79980.369991
2295.019895,-2072.576638,-1628.453072,-79980.369991
2295.022439,296.082377,444.123565,-81052.903688
2295.024984,-3108.864956,2220.617826,-76762.768900
2295.027528,-11103.089130,296.082377,-76762.768900
2295.030073,-3404.947333,7846.182985,-77682.083497
2295.032617,-3108.864956,-4293.194464,-81206.122788
2295.035162,3404.947333,3552.988522,-80133.589091
2295.037706,4737.318029,-740.205942,-79367.493593
2295.040251,-9474.636058,4589.276840,-78141.740796
2295.042795,148.041188,-1924.535449,-78141.740796
2295.045340,-8438.347739,4737.318029,-75996.673402
2295.047884,6365.771101,-296.082377,-81052.903688
2295.050429,4293.194464,-5477.523971,-82891.532884
2295.052973,8586.388927,7550.100608,-76149.892501
2295.055518,-7550.100608,1924.535449,-79520.712692
2295.058062,-296.082377,-444.123565,-78907.836294
2295.060607,3552.988522,2072.576638,-75077.358804
2295.063151,4589.276840,-4293.194464,-82125.437386
2295.065696,11399.171507,7698.141797,-76149.892501
2295.068240,1924.535449,-1332.370696,-80899.684589
2295.070785,1924.535449,5181.441594,-77988.521696
2295.073329,-4737.318029,0.000000,-77682.083497
2295.075874,592.164754,1628.453072,-78754.617194
2295.078418,8882.471304,7550.100608,-77375.645298
2295.080963,3404.947333,-9770.718434,-82738.313784
2295.083507,1924.535449,13767.830521,-75383.797003
2295.086052,3404.947333,-6661.853478,-83197.971083
2295.088596,2812.782580,6365.771101,-75996.673402
2295.091141,-1924.535449,1480.411884,-80593.246390
2295.093686,5033.400406,148.041188,-77988.521696
2295.096230,1628.453072,1184.329507,-78141.740796
2295.098775,444.123565,0.000000,-80440.027290
2295.101319,1332.370696,4737.318029,-75537.016103
2295.103864,-592.164754,740.205942,-79673.931792
2295.106408,7698.141797,3701.029710,-78601.398095
2295.108953,5625.565159,-2516.700203,-80593.246390
2295.111495,3701.029710,6957.935855,-76762.768900
2295.114038,740.205942,-4145.153275,-79827.150892
2295.116581,-2516.700203,3849.070898,-76303.111601
2295.119124,6957.935855,4293.194464,-79827.150892
2295.121666,7402.059420,-2368.659014,-79367.493593
2295.124209,5773.606348,7254.018232,-79520.712692
2295.126752,2812.782580,-4145.153275,-81818.999186
2295.129295,148.041188,2664.741391,-75383.797003
2295.131837,-6513.812290,7994.224174,-75996.673402
2295.134380,1036.288319,740.205942,-80593.246390
2295.136923,4885.359217,-4145.153275,-79673.931792
2295.139466,5477.523971,4885.359217,-78294.959896
2295.142009,-4293.194464,3701.029710,-78754.617194
2295.144551,-11399.171507,-1184.329507,-77988.521696
2295.147094,-7698.141797,4293.194464,-77069.207099
2295.149637,2664.741391,-592.164754,-78601.398095
2295.152180,1036.288319,740.205942,-79980.369991
2295.154722,1036.288319,2516.700203,-79980.369991
2295.157265,-4589.276840,1480.411884,-76303.111601
2295.159808,-12287.418637,4589.276840,-79367.493593
2295.162351,-3552.988522,-1628.453072,-79214.274493
2295.164893,-1628.453072,1332.370696,-77528.864398
2295.167436,-4737.318029,3552.988522,-79827.150892
2295.169979,1628.453072,-4441.235652,-78141.740796
2295.172522,-4885.359217,6365.771101,-76609.549800
2295.175065,-6809.894666,2072.576638,-81512.560987
2295.177607,3552.988522,-2960.823768,-79214.274493
2295.180150,-6957.935855,4145.153275,-76915.987999
2295.182693,296.082377,-1332.370696,-79980.369991
2295.185236,-1480.411884,-148.041188,-79214.274493
2295.187778,-296.082377,1924.535449,-78141.740796
2295.190321,-1924.535449,3108.864956,-79061.055394
2295.192864,3256.906145,2516.700203,-78907.836294
2295.195407,-3256.906145,1776.494261,-79827.150892
2295.197949,-3701.029710,-1480.411884,-79520.712692
2295.200492,-11991.336260,3256.906145,-76456.330700
2295.203035,-6661.853478,0.000000,-79214.274493
2295.205578,-6217.729913,1480.411884,-77528.864398
2295.208120,4441.235652,5181.441594,-80440.027290
2295.210663,-4441.235652,1628.453072,-80593.246390
2295.213206,-2960.823768,-1628.453072,-79061.055394
2295.215748,-9622.677246,4589.276840,-76609.549800
2295.218290,-5625.565159,-4441.235652,-80440.027290
2295.220833,-1332.370696,6957.935855,-76303.111601
2295.223375,2960.823768,-2072.576638,-80746.465489
2295.225917,-4293.194464,6661.853478,-78294.959896
2295.228460,-3108.864956,-3552.988522,-80286.808190
2295.231002,-6217.729913,7402.059420,-74924.139704
2295.233545,-1480.411884,-2812.782580,-81052.903688
2295.236087,6957.935855,-1036.288319,-78448.178995
2295.238629,7846.182985,5329.482782,-79367.493593
2295.241172,-8438.347739,4441.235652,-79214.274493
2295.243714,-2072.576638,-2664.741391,-81972.218286
2295.246256,592.164754,3997.112087,-76303.111601
2295.248799,1924.535449,-1628.453072,-79827.150892
2295.251341,13619.789333,1628.453072,-77375.645298
2295.253884,3256.906145,2368.659014,-77988.521696
2295.256426,-296.082377,-1332.370696,-81818.999186
2295.258968,-444.123565,6069.688724,-77069.207099
2295.261511,2072.576638,740.205942,-82431.875585
2295.264053,9918.759623,888.247130,-77682.083497
2295.266595,2368.659014,1628.453072,-77375.645298
2295.269138,1776.494261,-2220.617826,-77988.521696
2295.271680,-592.164754,3997.112087,-78601.398095
2295.274223,4737.318029,-740.205942,-81818.999186
2295.276765,4293.194464,3552.988522,-79214.274493
2295.279307,148.041188,3997.112087,-78294.959896
2295.281850,-740.205942,888.247130,-78754.617194
2295.284392,-1480.411884,148.041188,-77069.207099
2295.286934,3108.864956,592.164754,-78907.836294
2295.289477,7105.977043,296.082377,-80593.246390
2295.292019,10807.006753,5625.565159,-79214.274493
2295.294561,6365.771101,1628.453072,-80593.246390
