#time,accel_x,accel_y,accel_z
1330.941326,592.164754,1184.329507,-78294.959896
1330.943875,-444.123565,1184.329507,-78754.617194
1330.946427,-592.164754,0.000000,-79367.493593
1330.948980,-148.041188,2072.576638,-78907.836294
1330.951532,444.123565,2664.741391,-79061.055394
1330.954085,-1332.370696,1480.411884,-79827.150892
1330.956637,740.205942,1332.370696,-78601.398095
1330.959190,444.123565,1332.370696,-78294.959896
1330.961742,-148.041188,444.123565,-79214.274493
1330.964295,-444.123565,2516.700203,-79214.274493
1330.966847,592.164754,740.205942,-79214.274493
1330.969400,1036.288319,7105.977043,-78448.178995
1330.971952,444.123565,-592.164754,-80440.027290
1330.974505,2220.617826,2960.823768,-77375.645298
1330.977057,1480.411884,6217.729913,-78448.178995
1330.979609,4293.194464,2812.782580,-79673.931792
1330.982162,3552.988522,6217.729913,-77375.645298
1330.984714,0.000000,6661.853478,-80133.589091
1330.987267,4885.359217,8586.388927,-79214.274493
1330.989819,4737.318029,3256.906145,-78294.959896
1330.992372,1924.535449,9918.759623,-76762.768900
1330.994924,2516.700203,-1628.453072,-80133.589091
1330.997477,-1776.494261,-296.082377,-76915.987999
1331.000029,-2664.741391,2664.741391,-79520.712692
1331.002582,-9030.512492,-11399.171507,-81818.999186
1331.005134,-2960.823768,-1924.535449,-76915.987999
1331.007687,-4737.318029,7846.182985,-78601.398095
1331.010239,3256.906145,-2516.700203,-79214.274493
1331.012792,-2812.782580,5773.606348,-75383.797003
1331.015344,-888.247130,-1332.370696,-81052.903688
1331.017897,-4589.276840,-9326.594869,-78754.617194
1331.020449,-2368.659014,8586.388927,-76915.987999
1331.023002,-3552.988522,-9178.553681,-80746.465489
1331.025554,1036.288319,1628.453072,-76762.768900
1331.028107,-5033.400406,7254.018232,-77222.426198
1331.030659,-3404.947333,-2664.741391,-81512.560987
1331.033212,-148.041188,-740.205942,-78294.959896
1331.035764,-888.247130,-740.205942,-77528.864398
1331.038317,-1480.411884,148.041188,-77988.521696
1331.040869,296.082377,3849.070898,-78141.740796
1331.043422,-2664.741391,1332.370696,-81052.903688
1331.045974,-4145.153275,-2072.576638,-81665.780087
1331.048530,-6809.894666,-5033.400406,-79061.055394
1331.051085,-3997.112087,-1036.288319,-77835.302597
1331.053641,-5181.441594,-5033.400406,-77528.864398
1331.056196,148.041188,2960.823768,-77069.207099
1331.058752,-1628.453072,-4737.318029,-80133.589091
1331.061307,-2960.823768,3552.988522,-79980.369991
1331.063863,-6513.812290,-5921.647536,-81512.560987
1331.066418,-2220.617826,-1332.370696,-75537.016103
1331.068974,-4145.153275,3404.947333,-76609.549800
1331.071529,0.000000,-5477.523971,-78601.398095
1331.074085,-2960.823768,148.041188,-77069.207099
1331.076640,-740.205942,-5033.400406,-83504.409282
1331.079196,-2072.576638,-3108.864956,-79980.369991
1331.081751,2368.659014,15988.448347,-75077.358804
1331.084307,7550.100608,11843.295072,-79520.712692
1331.086862,5181.441594,-2960.823768,-78294.959896
1331.089418,-2960.823768,6513.812290,-77069.207099
1331.091973,-9326.594869,-19097.313304,-83657.628382
1331.094529,3404.947333,7550.100608,-74924.139704
1331.097085,3108.864956,7846.182985,-80440.027290
1331.099640,1628.453072,11103.089130,-79214.274493
1331.102196,7698.141797,-2072.576638,-81052.903688
1331.104751,-592.164754,-1480.411884,-78754.617194
1331.107307,-444.123565,8586.388927,-78294.959896
1331.109862,296.082377,6365.771101,-76762.768900
1331.112418,4737.318029,6217.729913,-78141.740796
1331.114973,4293.194464,740.205942,-81665.780087
1331.117529,-148.041188,-2960.823768,-83351.190182
1331.120084,4441.235652,5181.441594,-79673.931792
1331.122640,-2220.617826,5477.523971,-78141.740796
1331.125195,3701.029710,8438.347739,-76762.768900
1331.127751,4589.276840,2220.617826,-75537.016103
1331.130306,444.123565,-1332.370696,-79520.712692
1331.132862,444.123565,3849.070898,-80746.465489
1331.135417,296.082377,7105.977043,-80593.246390
1331.137973,-888.247130,4589.276840,-79980.369991
1331.140528,1776.494261,296.082377,-78294.959896
1331.143084,1924.535449,-444.123565,-77069.207099
1331.145640,5477.523971,4145.153275,-77988.521696
1331.148195,3552.988522,6069.688724,-79520.712692
1331.150753,6513.812290,6217.729913,-79214.274493
1331.153312,3849.070898,6513.812290,-80286.808190
1331.155870,-592.164754,4589.276840,-80440.027290
1331.158428,2220.617826,1480.411884,-79520.712692
1331.160987,1036.288319,2368.659014,-78141.740796
1331.163545,-296.082377,1628.453072,-78141.740796
1331.166103,3997.112087,3701.029710,-77528.864398
1331.168661,1924.535449,9030.512492,-79673.931792
1331.171220,8142.265362,3701.029710,-83044.751983
1331.173778,148.041188,2664.741391,-78601.398095
1331.176336,-5033.400406,2664.741391,-78294.959896
1331.178895,-4737.318029,-8290.306550,-78294.959896
1331.181453,-1184.329507,6217.729913,-75383.797003
1331.184011,1332.370696,-7254.018232,-80899.684589
1331.186570,296.082377,6809.894666,-77222.426198
1331.189128,5181.441594,16876.695478,-79673.931792
1331.191686,-3256.906145,-11251.130318,-83044.751983
1331.194244,-3849.070898,7105.977043,-73085.510509
1331.196803,-5033.400406,-5921.647536,-79214.274493
1331.199361,-3404.947333,-6069.688724,-77528.864398
1331.201919,-1924.535449,2368.659014,-78754.617194
1331.204478,-740.205942,-7846.182985,-82278.656485
1331.207036,-2812.782580,10214.842000,-79061.055394
1331.209594,0.000000,-3701.029710,-82125.437386
1331.212153,-5181.441594,-4145.153275,-76303.111601
1331.214711,1924.535449,6809.894666,-73085.510509
1331.217269,-2516.700203,-6957.935855,-79061.055394
1331.219827,1776.494261,3404.947333,-78754.617194
1331.222386,-5033.400406,1480.411884,-81206.122788
1331.224944,-3849.070898,-4737.318029,-83351.190182
1331.227502,-296.082377,3108.864956,-78294.959896
1331.230061,-2960.823768,0.000000,-77682.083497
1331.232621,296.082377,-2516.700203,-75996.673402
1331.235181,-148.041188,-1332.370696,-77375.645298
1331.237741,-2960.823768,148.041188,-79980.369991
1331.240301,-3404.947333,1776.494261,-81512.560987
1331.242861,-6069.688724,444.123565,-80899.684589
1331.245421,-4885.359217,-9030.512492,-80593.246390
1331.247981,-2220.617826,-3849.070898,-75690.235202
1331.250541,-1924.535449,2516.700203,-76609.549800
1331.253101,444.123565,-3108.864956,-79367.493593
1331.255661,-3552.988522,5181.441594,-78141.740796
1331.258221,-7698.141797,-1480.411884,-82738.313784
1331.260781,-2812.782580,-4145.153275,-79214.274493
1331.263342,-1184.329507,-592.164754,-78754.617194
1331.265902,-148.041188,-6513.812290,-78601.398095
1331.268462,-4145.153275,-3701.029710,-77222.426198
1331.271022,-888.247130,5477.523971,-79061.055394
1331.273582,148.041188,-6957.935855,-81512.560987
1331.276142,3404.947333,17024.736666,-76762.768900
1331.278702,7105.977043,4145.153275,-81512.560987
1331.281262,6217.729913,2812.782580,-76915.987999
1331.283822,-5033.400406,8290.306550,-77528.864398
1331.286382,-7550.100608,-17320.819043,-81512.560987
1331.288942,1776.494261,9178.553681,-75383.797003
1331.291502,-296.082377,3849.070898,-82125.437386
1331.294062,3701.029710,7698.141797,-80286.808190
1331.296623,5921.647536,4885.359217,-79520.712692
1331.299183,296.082377,-4885.359217,-78141.740796
1331.301743,740.205942,6217.729913,-76762.768900
1331.304303,592.164754,4885.359217,-77528.864398
1331.306863,6661.853478,6365.771101,-78294.959896
1331.309423,3701.029710,4589.276840,-79827.150892
1331.311983,1036.288319,2220.617826,-80899.684589
1331.314543,740.205942,6069.688724,-79980.369991
1331.317103,740.205942,-3701.029710,-78601.398095
1331.319663,4145.153275,6661.853478,-74617.701505
1331.322223,296.082377,3849.070898,-77528.864398
1331.324783,592.164754,0.000000,-79827.150892
1331.327343,-1184.329507,3849.070898,-81818.999186
1331.329903,-1332.370696,3404.947333,-80286.808190
1331.332464,1332.370696,1628.453072,-79367.493593
1331.335025,3552.988522,4441.235652,-77069.207099
